248,10,2
HTTP,SSL,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
204.14.234.85,443,192.168.3.131,57246,TCP,9406322.000000,2720,940632.200000,0.000000,8856511.000000,272,60,1191,1.063115,289.167222,SSL,1
204.14.234.85,443,192.168.3.131,57247,TCP,17412482.000000,6260,1741248.200000,261.000000,16851540.000000,626,60,1514,0.574301,359.512217,SSL,1
204.14.234.85,443,192.168.3.131,57248,TCP,10856284.000000,3980,1085628.400000,585.000000,10280695.000000,398,60,1514,0.921125,366.607948,SSL,1
204.14.234.85,443,192.168.3.131,57249,TCP,173132.000000,8022,17313.200000,0.000000,58501.000000,802,60,1514,57.759397,46334.588638,SSL,1
130.117.72.100,443,172.16.255.1,10638,TCP,898684.000000,7893,89868.400000,295.000000,180267.000000,789,60,1514,11.127382,8782.842467,SSL,1
72.14.213.102,443,192.168.3.131,52202,TCP,55555.000000,4573,5555.500000,1.000000,23387.000000,457,60,1484,180.001800,82314.823148,SSL,1
207.46.0.109,80,192.168.3.131,56051,TCP,240905.000000,7633,24090.500000,0.000000,146146.000000,763,60,1502,41.510139,31684.688985,HTTP,0
207.46.0.109,80,192.168.3.131,56320,TCP,260470.000000,7611,26047.000000,1.000000,159654.000000,761,60,1514,38.392137,29220.255692,HTTP,0
66.235.139.121,80,192.168.3.131,56126,TCP,11229009.000000,3195,1122900.900000,768.000000,10433339.000000,319,60,936,0.890551,284.530897,HTTP,0
208.82.236.129,80,192.168.3.131,58464,TCP,272574.000000,9294,27257.400000,1.000000,149886.000000,929,60,1514,36.687285,34097.162605,HTTP,0
208.82.236.129,80,192.168.3.131,58544,TCP,20653668.000000,9447,2065366.800000,1.000000,20465520.000000,944,60,1514,0.484175,457.400593,HTTP,0
192.168.3.131,56064,65.54.95.75,80,TCP,170222.000000,1230,17022.200000,173.000000,106439.000000,123,54,732,58.746813,7225.857997,HTTP,0
208.82.236.130,80,192.168.3.131,58351,TCP,166894.000000,9730,16689.400000,0.000000,57241.000000,973,60,1514,59.918271,58300.478148,HTTP,0
208.82.236.130,80,192.168.3.131,58417,TCP,10949004.000000,10898,1094900.400000,0.000000,10887734.000000,1089,60,1514,0.913325,995.341677,HTTP,0
208.82.236.130,80,192.168.3.131,58668,TCP,162191.000000,9807,16219.100000,0.000000,58466.000000,980,60,1514,61.655702,60465.747175,HTTP,0
208.82.236.130,80,192.168.3.131,58486,TCP,234755.000000,9504,23475.500000,1.000000,132346.000000,950,60,1514,42.597602,40484.760708,HTTP,0
208.82.236.130,80,192.168.3.131,58490,TCP,160391.000000,10027,16039.100000,1.000000,57712.000000,1002,60,1514,62.347638,62515.976582,HTTP,0
208.82.236.130,80,192.168.3.131,58543,TCP,229388.000000,10887,22938.800000,3.000000,127128.000000,1088,60,1514,43.594260,47461.070326,HTTP,0
208.82.236.130,80,192.168.3.131,58353,TCP,178870.000000,10280,17887.000000,1.000000,74780.000000,1028,60,1514,55.906524,57471.906972,HTTP,0
208.82.236.130,80,192.168.3.131,58361,TCP,6825780.000000,9386,682578.000000,1.000000,6721043.000000,938,60,1514,1.465034,1375.080943,HTTP,0
208.82.236.130,80,192.168.3.131,58609,TCP,27493631.000000,12574,2749363.100000,2.000000,27391351.000000,1257,66,1514,0.363721,457.342284,HTTP,0
192.168.3.131,56065,65.54.95.68,80,TCP,65001.000000,1221,6500.100000,205.000000,46058.000000,122,54,723,153.843787,18784.326395,HTTP,0
192.168.3.131,56320,207.46.0.109,80,TCP,13118475.000000,5627,1311847.500000,278.000000,12475390.000000,562,54,1472,0.762284,428.937053,HTTP,0
192.168.3.131,56066,65.54.95.75,80,TCP,103878.000000,1189,10387.800000,763.000000,41822.000000,118,54,691,96.266774,11446.119486,HTTP,0
192.168.3.131,56067,65.54.95.75,80,TCP,557978.000000,3117,55797.800000,207.000000,186457.000000,311,54,714,17.921854,5586.241751,HTTP,0
192.168.3.131,56068,65.54.95.68,80,TCP,2689757.000000,2483,268975.700000,226.000000,2188944.000000,248,54,714,3.717808,923.131718,HTTP,0
192.168.3.131,56069,65.54.95.75,80,TCP,2535187.000000,3118,253518.700000,183.000000,2248859.000000,311,54,714,3.944482,1229.889551,HTTP,0
192.168.3.131,56070,65.54.95.68,80,TCP,56267.000000,1228,5626.700000,307.000000,24955.000000,122,54,730,177.724066,21824.515258,HTTP,0
192.168.3.131,56073,65.54.95.75,80,TCP,2257348.000000,3094,225734.800000,363.000000,1502935.000000,309,54,690,4.429977,1370.634922,HTTP,0
192.168.3.131,56331,65.54.95.68,80,TCP,66120.000000,1221,6612.000000,235.000000,40524.000000,122,54,723,151.240169,18466.424682,HTTP,0
192.168.3.131,56093,65.54.95.68,80,TCP,58594.000000,1228,5859.400000,315.000000,24385.000000,122,54,730,170.665938,20957.777247,HTTP,0
192.168.3.131,56110,65.54.95.68,80,TCP,67491.000000,1229,6749.100000,290.000000,35678.000000,122,54,731,148.167904,18209.835385,HTTP,0
192.168.3.131,56368,65.54.95.68,80,TCP,49883.000000,1221,4988.300000,203.000000,29606.000000,122,54,723,200.469098,24477.276828,HTTP,0
192.168.3.131,56132,65.54.95.140,80,TCP,57441.000000,1458,5744.100000,215.000000,17069.000000,145,54,960,174.091677,25382.566459,HTTP,0
192.168.3.131,56133,65.54.95.216,80,TCP,57399.000000,1308,5739.900000,258.000000,18740.000000,130,54,810,174.219063,22787.853447,HTTP,0
192.168.3.131,56139,65.54.95.75,80,TCP,42999.000000,1230,4299.900000,220.000000,24536.000000,123,54,732,232.563548,28605.316403,HTTP,0
192.168.3.131,56140,65.54.95.68,80,TCP,48134.000000,1221,4813.400000,225.000000,25290.000000,122,54,723,207.753355,25366.684672,HTTP,0
192.168.3.131,56406,65.54.95.68,80,TCP,16028349.000000,3360,1602834.900000,397.000000,9890521.000000,336,54,1078,0.623895,209.628577,HTTP,0
192.168.3.131,56411,65.55.206.199,80,TCP,1283027.000000,2366,128302.700000,551.000000,903412.000000,236,54,1028,7.794068,1844.076547,HTTP,0
192.168.3.131,56414,65.54.95.140,80,TCP,217745.000000,2990,21774.500000,336.000000,121811.000000,299,54,867,45.925280,13731.658591,HTTP,0
192.168.3.131,56415,65.54.95.140,80,TCP,56575.000000,1364,5657.500000,153.000000,16074.000000,136,54,866,176.756518,24109.589041,HTTP,0
192.168.3.131,56416,65.54.95.140,80,TCP,71061.000000,1365,7106.100000,1238.000000,15504.000000,136,54,867,140.724167,19208.848736,HTTP,0
192.168.3.131,56417,65.54.95.140,80,TCP,79469.000000,1366,7946.900000,756.000000,18357.000000,136,54,868,125.835231,17189.092602,HTTP,0
192.168.3.131,56418,65.54.95.140,80,TCP,232318.000000,2988,23231.800000,284.000000,96158.000000,298,54,867,43.044448,12861.680972,HTTP,0
192.168.3.131,56165,65.54.95.140,80,TCP,53129.000000,1502,5312.900000,913.000000,15126.000000,150,54,1004,188.221122,28270.812551,HTTP,0
192.168.3.131,56419,65.54.95.140,80,TCP,351217.000000,3806,35121.700000,200.000000,128074.000000,380,54,868,28.472426,10836.605290,HTTP,0
192.168.3.131,56166,65.54.95.216,80,TCP,3959953.000000,1082,395995.300000,218.000000,3907121.000000,108,54,584,2.525282,273.235566,HTTP,0
192.168.3.131,56168,206.108.207.155,80,TCP,473797.000000,2061,47379.700000,429.000000,298245.000000,206,54,806,21.106086,4349.964225,HTTP,0
192.168.3.131,56423,65.54.95.149,80,TCP,61036.000000,961,6103.600000,163.000000,14982.000000,96,54,463,163.837735,15744.806344,HTTP,0
192.168.3.131,56174,65.54.95.68,80,TCP,44671.000000,1221,4467.100000,25.000000,26688.000000,122,54,723,223.858879,27333.169170,HTTP,0
192.168.3.131,56427,65.54.95.75,80,TCP,55215.000000,1466,5521.500000,285.000000,34482.000000,146,54,968,181.110206,26550.756135,HTTP,0
192.168.3.131,56428,65.54.95.68,80,TCP,57980.000000,1506,5798.000000,319.000000,16925.000000,150,54,1008,172.473267,25974.473957,HTTP,0
192.168.3.131,56429,65.54.95.68,80,TCP,1604125.000000,3179,160412.500000,235.000000,1111718.000000,317,54,946,6.233928,1981.765760,HTTP,0
192.168.3.131,56433,65.54.95.68,80,TCP,60423.000000,1506,6042.300000,210.000000,25692.000000,150,54,1008,165.499892,24924.283799,HTTP,0
192.168.3.131,56434,65.54.95.68,80,TCP,58321.000000,1453,5832.100000,280.000000,28491.000000,145,54,955,171.464824,24913.838926,HTTP,0
192.168.3.131,56435,65.54.95.75,80,TCP,79308.000000,1421,7930.800000,273.000000,46094.000000,142,54,923,126.090684,17917.486256,HTTP,0
192.168.3.131,56436,65.54.95.75,80,TCP,525108.000000,4020,52510.800000,217.000000,230963.000000,402,54,921,19.043701,7655.567997,HTTP,0
192.168.3.131,56438,65.54.95.75,80,TCP,354273.000000,4020,35427.300000,278.000000,113523.000000,402,54,921,28.226819,11347.181411,HTTP,0
192.168.3.131,56457,65.54.95.68,80,TCP,52550.000000,1506,5255.000000,389.000000,25277.000000,150,54,1008,190.294957,28658.420552,HTTP,0
192.168.3.131,55954,65.55.17.37,80,TCP,1705052.000000,1737,170505.200000,242.000000,1613550.000000,173,54,653,5.864924,1018.737258,HTTP,0
192.168.3.131,55957,65.55.5.232,80,TCP,27688878.000000,3315,2768887.800000,339.000000,25113158.000000,331,54,804,0.361156,119.723161,HTTP,0
192.168.3.131,55958,65.55.239.163,80,TCP,64034137.000000,4018,6403413.700000,350.000000,26059282.000000,401,54,1176,0.156167,62.747781,HTTP,0
192.168.3.131,55959,65.55.5.231,80,TCP,52724451.000000,3699,5272445.100000,383.000000,26332013.000000,369,54,1079,0.189665,70.157203,HTTP,0
192.168.3.131,55960,206.108.207.139,80,TCP,52665688.000000,2550,5266568.800000,341.000000,25974974.000000,255,54,846,0.189877,48.418621,HTTP,0
192.168.3.131,55962,65.55.5.232,80,TCP,63897724.000000,4016,6389772.400000,189.000000,26490198.000000,401,54,1123,0.156500,62.850439,HTTP,0
192.168.3.131,55963,65.54.95.140,80,TCP,2812296.000000,1745,281229.600000,179.000000,1302411.000000,174,54,452,3.555813,620.489451,HTTP,0
192.168.3.131,56476,65.54.95.68,80,TCP,58113.000000,1507,5811.300000,418.000000,28528.000000,150,54,1009,172.078537,25932.235472,HTTP,0
192.168.3.131,57243,204.14.234.85,443,TCP,447659.000000,7596,44765.900000,3.000000,264015.000000,759,54,1514,22.338432,16968.272725,SSL,1
192.168.3.131,57244,204.14.234.85,443,TCP,16296388.000000,7936,1629638.800000,2.000000,15890162.000000,793,54,1514,0.613633,486.979078,SSL,1
